Date,Game #,Game Type,Player, Net 
4/22/2026,28,PLO,Mc, $ 624.50 
4/22/2026,28,PLO,SamC, $ 587.00 
4/22/2026,28,PLO,Rach, $ 530.66 
4/22/2026,28,PLO,Ww, $ 508.61 
4/22/2026,28,PLO,RichardZ, $ 390.92 
4/22/2026,28,PLO,Lucki, $ 262.16 
4/22/2026,28,PLO,YN, $ 144.00 
4/22/2026,28,PLO,Hu, $ 140.00 
4/22/2026,28,PLO,Colin, $ 28.00 
4/22/2026,28,PLO,Sanjay, $ (75.00)
4/22/2026,28,PLO,Zheng, $ (105.25)
4/22/2026,28,PLO,Shiv, $ (400.00)
4/22/2026,28,PLO,Sasha, $ (800.00)
4/22/2026,28,PLO,Young, $ (899.25)
4/22/2026,28,PLO,Mikul, $ (910.00)
4/22/2026,28,PLO,bigslickenergy," $ (1,008.19)"
4/22/2026,28,PLO,Tarek," $ (1,250.00)"
4/22/2026,28,PLO,Elaine," $ (2,000.00)"
4/22/2026,29,NL,Will X, $ 309.75 
4/22/2026,29,NL,Akshay, $ 164.79 
4/22/2026,29,NL,Ww, $ 161.28 
4/22/2026,29,NL,Jamie, $ 27.71 
4/22/2026,29,NL,bigslickenergy, $ 8.30 
4/22/2026,29,NL,RichardG, $ (84.01)
4/22/2026,29,NL,GB, $ (86.92)
4/22/2026,29,NL,Rach, $ (127.82)
4/22/2026,29,NL,Saswoot, $ (128.00)
4/22/2026,29,NL,Sanjay, $ (245.08)
4/23/2026,30,NL,YN," $ 1,903.37 "
4/23/2026,30,NL,Ww," $ 1,667.40 "
4/23/2026,30,NL,Young, $ 865.37 
4/23/2026,30,NL,JZ, $ 649.87 
4/23/2026,30,NL,Zheng, $ 576.25 
4/23/2026,30,NL,Egg, $ 345.87 
4/23/2026,30,NL,Mc, $ 307.06 
4/23/2026,30,NL,Sanjay, $ 299.00 
4/23/2026,30,NL,Rach, $ 279.88 
4/23/2026,30,NL,Hu, $ 246.00 
4/23/2026,30,NL,RichardZ, $ 51.75 
4/23/2026,30,NL,Jamie, $ (120.00)
4/23/2026,30,NL,AHH, $ (121.50)
4/23/2026,30,NL,RichardG, $ (191.25)
4/23/2026,30,NL,Simon Chen, $ (200.00)
4/23/2026,30,NL,JH, $ (251.50)
4/23/2026,30,NL,Uz, $ (509.50)
4/23/2026,30,NL,Shaun, $ (513.26)
4/23/2026,30,NL,Shiv," $ (1,000.00)"
4/23/2026,30,NL,bigslickenergy," $ (1,957.81)"
4/23/2026,30,NL,SamC," $ (2,327.00)"
4/23/2026,31,PLO,Rach, $ 523.25 
4/23/2026,31,PLO,Zheng, $ 225.25 
4/23/2026,31,PLO,Andrew, $ 167.50 
4/23/2026,31,PLO,Shaun, $ 101.50 
4/23/2026,31,PLO,Neal, $ 70.38 
4/23/2026,31,PLO,Egg, $ (48.50)
4/23/2026,31,PLO,Alai, $ (55.13)
4/23/2026,31,PLO,YN, $ (64.50)
4/23/2026,31,PLO,Ena, $ (112.75)
4/23/2026,31,PLO,Young, $ (207.00)
4/23/2026,31,PLO,Bingo Brian, $ (600.00)
4/23/2026,32,NL,Rach, $ 394.83 
4/23/2026,32,NL,Saswoot, $ 244.17 
4/23/2026,32,NL,JZ, $ - 
4/23/2026,32,NL,Jamie, $ (40.25)
4/23/2026,32,NL,Young, $ (42.87)
4/23/2026,32,NL,Will X, $ (72.99)
4/23/2026,32,NL,Ww, $ (77.00)
4/23/2026,32,NL,Bingo Brian, $ (100.00)
4/23/2026,32,NL,GB, $ (105.89)
4/23/2026,32,NL,SamZ, $ (200.00)
4/24/2026,33,NL,JZ," $ 1,518.63 "
4/24/2026,33,NL,Zheng," $ 1,132.48 "
4/24/2026,33,NL,YN," $ 1,094.88 "
4/24/2026,33,NL,Young, $ 615.58 
4/24/2026,33,NL,Shiv, $ 392.00 
4/24/2026,33,NL,PaulB, $ 173.16 
4/24/2026,33,NL,Hiro, $ 147.36 
4/24/2026,33,NL,Ww, $ 54.90 
4/24/2026,33,NL,Lucki, $ 40.00 
4/24/2026,33,NL,Jonny, $ 27.50 
4/24/2026,33,NL,Sanjay, $ (101.00)
4/24/2026,33,NL,Saswoot, $ (112.50)
4/24/2026,33,NL,SamC, $ (272.00)
4/24/2026,33,NL,Shaun, $ (349.13)
4/24/2026,33,NL,Andrew, $ (437.14)
4/24/2026,33,NL,AHH, $ (490.00)
4/24/2026,33,NL,Hu, $ (640.00)
4/24/2026,33,NL,Rach, $ (739.72)
4/24/2026,33,NL,Egg, $ (991.00)
4/24/2026,33,NL,Bingo Brian," $ (1,064.00)"
4/24/2026,34,PLO,Andrew," $ 3,945.46 "
4/24/2026,34,PLO,PaulB, $ 273.51 
4/24/2026,34,PLO,Ww, $ 202.38 
4/24/2026,34,PLO,Bingo Brian, $ 134.37 
4/24/2026,34,PLO,SamZ, $ 124.37 
4/24/2026,34,PLO,Shiv, $ 104.25 
4/24/2026,34,PLO,YN, $ 37.50 
4/24/2026,34,PLO,Hu, $ (1.00)
4/24/2026,34,PLO,Sanjay, $ (100.00)
4/24/2026,34,PLO,Neal, $ (139.21)
4/24/2026,34,PLO,Young, $ (300.00)
4/24/2026,34,PLO,Rach, $ (360.00)
4/24/2026,34,PLO,Ena, $ (370.88)
4/24/2026,34,PLO,Hiro, $ (433.25)
4/24/2026,34,PLO,SamC, $ (617.50)
4/24/2026,34,PLO,Egg," $ (1,000.00)"
4/24/2026,34,PLO,AHH," $ (1,500.00)"
4/24/2026,35,NL,Ww, $ 157.11 
4/24/2026,35,NL,Akshay, $ 120.88 
4/24/2026,35,NL,Uz, $ 118.95 
4/24/2026,35,NL,JZ, $ 86.35 
4/24/2026,35,NL,Mc, $ 53.49 
4/24/2026,35,NL,Will X, $ 37.17 
4/24/2026,35,NL,Saswoot, $ 13.75 
4/24/2026,35,NL,Young, $ 8.78 
4/24/2026,35,NL,Bingo Brian, $ (54.61)
4/24/2026,35,NL,SamZ, $ (100.00)
4/24/2026,35,NL,Heezy, $ (100.00)
4/24/2026,35,NL,Rach, $ (141.87)
4/24/2026,35,NL,Sanjay, $ (200.00)
4/25/2026,36,NL,Rach, $ 580.41 
4/25/2026,36,NL,Ww, $ 470.00 
4/25/2026,36,NL,Young, $ 350.00 
4/25/2026,36,NL,JZ, $ 185.38 
4/25/2026,36,NL,Mc, $ 55.75 
4/25/2026,36,NL,Bingo Brian, $ 34.25 
4/25/2026,36,NL,Lucki, $ 26.74 
4/25/2026,36,NL,Neal, $ (31.77)
4/25/2026,36,NL,Andrew, $ (72.75)
4/25/2026,36,NL,Alai, $ (350.26)
4/25/2026,36,NL,Shaun, $ (400.00)
4/25/2026,36,NL,SamC, $ (847.75)
4/26/2026,37,PLO,Hiro," $ 4,211.43 "
4/26/2026,37,PLO,Young, $ 869.35 
4/26/2026,37,PLO,Andrew, $ 328.11 
4/26/2026,37,PLO,YN, $ 187.44 
4/26/2026,37,PLO,RichardZ, $ 152.69 
4/26/2026,37,PLO,Hu, $ 132.00 
4/26/2026,37,PLO,Egg, $ 124.29 
4/26/2026,37,PLO,JZ, $ 109.10 
4/26/2026,37,PLO,GB, $ 38.00 
4/26/2026,37,PLO,SamC, $ 1.25 
4/26/2026,37,PLO,Neal, $ (53.25)
4/26/2026,37,PLO,Lucki, $ (216.87)
4/26/2026,37,PLO,Zheng, $ (268.00)
4/26/2026,37,PLO,Tarek, $ (350.24)
4/26/2026,37,PLO,JJ, $ (400.00)
4/26/2026,37,PLO,Rach, $ (650.00)
4/26/2026,37,PLO,Ena," $ (1,000.00)"
4/26/2026,37,PLO,Colin," $ (1,266.54)"
4/26/2026,37,PLO,PaulB," $ (1,948.76)"
4/26/2026,38,NL,YN, $ 669.88 
4/26/2026,38,NL,Hiro, $ 381.62 
4/26/2026,38,NL,Lucki, $ 303.25 
4/26/2026,38,NL,JZ, $ 270.30 
4/26/2026,38,NL,Sanjay, $ 251.47 
4/26/2026,38,NL,Bingo Brian, $ 144.50 
4/26/2026,38,NL,GB, $ 114.50 
4/26/2026,38,NL,Ww, $ 84.12 
4/26/2026,38,NL,Rach, $ (100.00)
4/26/2026,38,NL,Arjun, $ (175.50)
4/26/2026,38,NL,Shiv, $ (200.00)
4/26/2026,38,NL,Uz, $ (457.63)
4/26/2026,38,NL,Young," $ (1,286.51)"
4/27/2026,39,NL,Young," $ 1,718.24 "
4/27/2026,39,NL,Hiro, $ 978.14 
4/27/2026,39,NL,Sherry, $ 724.67 
4/27/2026,39,NL,Ww, $ 653.88 
4/27/2026,39,NL,Mc, $ 502.25 
4/27/2026,39,NL,Rach, $ 311.13 
4/27/2026,39,NL,YN, $ 285.05 
4/27/2026,39,NL,SamC, $ 189.25 
4/27/2026,39,NL,RichardZ, $ 186.00 
4/27/2026,39,NL,Mikul, $ 138.99 
4/27/2026,39,NL,JZ, $ 104.31 
4/27/2026,39,NL,Saswoot, $ 99.87 
4/27/2026,39,NL,Ena, $ 56.31 
4/27/2026,39,NL,Shiv, $ 49.25 
4/27/2026,39,NL,Tarek, $ 39.39 
4/27/2026,39,NL,Draco, $ 26.00 
4/27/2026,39,NL,JH, $ 0.25 
4/27/2026,39,NL,Hu, $ - 
4/27/2026,39,NL,Sanjay, $ (145.75)
4/27/2026,39,NL,GB, $ (254.74)
4/27/2026,39,NL,Zheng, $ (500.00)
4/27/2026,39,NL,Colin, $ (525.54)
4/27/2026,39,NL,Egg, $ (611.49)
4/27/2026,39,NL,Griffin, $ (635.27)
4/27/2026,39,NL,Andrew, $ (970.45)
4/27/2026,39,NL,Shaun," $ (1,195.25)"
4/27/2026,39,NL,Bingo Brian," $ (1,224.49)"
4/27/2026,40,PLO,Andrew," $ 1,580.79 "
